CANCEL REMARK REPORT
LORRY_REQ_NO,SOURCE_CODE,SOURCE_NAME,DESTINATION_CODE,DESTINATION_NAME,VENDOR_CODE,VENDOR_OWNER_NAME,VENDOR_TRANSPORT_NAME,VENDOR_BID,RATE_ENTER_DATE,RANK,CANCEL_REMARK,HIRING_NO,HIRING_AMOUNT,RATE_DELETE_REMARK,DELETE_FLAG_BY,DELETE_FLAG_NAME
13182514000285,1318,"GURGAON-HARYANA",516,"SHIMOGA-KARNATAKA",13900000972,"VIKASH SHARMA ATTRI","SOUTH CARGO ROADLINE","59000",06-JAN-26,"L2","VENDOR BID AFTER VEHICLE PLACED","69292515045082","60000","VENDOR BID AFTER 1.5 HR LATER OF VEHICLE PLACED",31928,DEEPAK 
13022514000334,1302,"PANIPAT-HARYANA",1328,"BINOLA HUB-HARYANA",64870000133,"Can Pack Logistics","Can Pack Logistics","13999",07-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045983","14000","VENDOR BID AFTER VEHILCE PLACED ",31928,DEEPAK 
13092514002039,1309,"KUNDLI BORDER SONIPAT-HARYANA",511,"BANGLORE HUB-KARNATAKA",13900000094,"R. N. SHARMA","AARYA TRANSPORT CORPORATION","148000",06-JAN-26,"L1","VEHICLE BREAKDOWN VENDOR DEMAND HIGH RATE AFTER BIDDING","69292515044960","145000","VEHICLE PLACED IN LOW RATE OF L1 VENDOR",31928,DEEPAK 
13122514000472,2122,"JASAI MUMBAI-MAHARASTRA",1310,"NOIDA I-UTTAR PRADESH",64870000022,"Khushi Transport Services","Khushi Transport Services","47000",06-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045295","52000","AS PER VENDOR VENDOR BID FOR CLOSED BODY BUT REQ FOR OPENBODY",31928,DEEPAK 
28562514000919,2856,"MAHALUNGE TRANSSHIPMENT",1603,"HALOL-GUJARAT",64870003910,"","HARYANA FREIGHT CARRIER ","18500",06-JAN-26,"L1","VEHICLE PLACED OF FIX VENDOR","69292515047038","20000","VENDOR BID AFTRER VEHICLE PLACED",31928,DEEPAK 
13282514001429,1328,"BINOLA HUB-HARYANA",2501,"NAGPUR",64870004300,"VINOD","VD LOGISTICS","48000",06-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044939","48500","VENDOR BID AFTER 1.15HR OF VEHICLE PLACED",31928,DEEPAK 
13932514001086,1393,"KHARKHODA  SONIPAT",1601,"HYDERABAD-TELANGANA",64870000054,"Delhi Madras Road Carriers","Delhi Madras Road Carriers","71900",07-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044999","73000","VENDOR BID NEXT DAY AFTER VEHICLE PLACED",31928,DEEPAK 
22052514000595,2205,"HARIDWAR-UTTRAKHAND",2105,"BHIWANDI-MAHARASTRA",64870003193,"","SANWARIYA GOODS CARRIERS ","65000",06-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515045472","65500","STAFF NOD VEHICLE AVAILBALECALL SAME TIME ",31928,DEEPAK 
13232514000663,1323,"BALLABHGARH-HARYANA",103,"AMBALA HUB-HARYANA",64870004937,"","best Home packers and movers ","15000",06-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515046158","18000","AS PER VENDOR BY MISTAKE BID FOR 6 TON BUT REQ FOR 15 TON
",31928,DEEPAK 
3012514000915,301,"AHMEDABAD-GUJARAT",3508,"DEWAS-MADHYA PRADESH",64870004544,"","shri shyam cargo movers ","19000",07-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045347","21500","AS PER VENDOR VEHICLE ON UINLOAD ING POINT WILL REACHED NEX TDAY AFTER 12 PM",31928,DEEPAK 
13082514000446,1308,"FARIDABAD-HARYANA",2117,"MUMBAI HUB-MAHARASTRA",64870000678,"","Riya Roadlines","45000",09-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045422","46000","VENDOR BID AFTER TWO DY OF VEHICLE PLACED",31928,DEEPAK 
13122514000474,1312,"GREATER NOIDA-UTTAR PRADESH",402,"SURAT-GUJARAT",13900000421,"LALIT KR.","SHREE KISRHNA TAMPO TRNASPORT","28000",07-JAN-26,"L1","VEHICLE NOT REACHED ON LOADING POINT","69292515045255","29000","AS PER VENDOR VEHICLE BREAKDOWN",31928,DEEPAK 
35082514000378,3508,"DEWAS-MADHYA PRADESH",2856,"MAHALUNGE TRANSSHIPMENT",64870004481,"","Shree Mahakal Roadways ","11000",07-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045852","12000","STAFF PLACED VEHICELE BEFORE REQ GENERATE AS PER STAFF NEED ON URGENT VEHICLE",31928,DEEPAK 
17142514000113,1714,"BIKANER-RAJASTHAN",1721,"KESHWANA RAJASTHAN",64870004681,"","SHIR RAJISTHAN GOLDEN ROAD LINES ","16000",07-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515045879","16000","VEHICLE PLACED OF FX RATE VENDOR ",31928,DEEPAK 
17142514000113,1714,"BIKANER-RAJASTHAN",1721,"KESHWANA RAJASTHAN",64870004681,"","SHIR RAJISTHAN GOLDEN ROAD LINES ","16000",07-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515045879","16000","VEHICLE PLACED OF FX RATE VENDOR ",31928,DEEPAK 
21252514000484,2125,"RASYANI-RAIGAD",525,"NARSAPURA-KARNATAKA",13900000972,"VIKASH SHARMA ATTRI","SOUTH CARGO ROADLINE","5950",08-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045459","58000","VENDOR BID 65000, 62000 THEN MODIFY 5950",31928,DEEPAK 
17122514000121,1712,"KHUSKERA-RAJASTHAN",106,"PAONTA SAHIB-HIMACHAL PRADESH",1030000116,"SHRI GANPATI LOGISTICS","SHRI GANPATI LOGISTICS","16000",07-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045321","17000","VEDNDOR BID AFTER 1 HR OF VEHICLE PLACED",31928,DEEPAK 
1152514001620,103,"AMBALA HUB-HARYANA",1341,"BAWANA-DELHI",64870002256,"Sharma transport Company","Sharma transport Company","8999",08-JAN-26,"L1","L2,L3 ETC VENDOR VEHICLE PROVIDE IN LOW RATE OF L1 VENDOR","69292515045400","8500","VEHICLE PROVIDE IN LOW RATE OF L1 VENDOR",31928,DEEPAK 
1152514001628,103,"AMBALA HUB-HARYANA",1701,"JAIPUR-RAJASTHAN",64870003281,"","shree ram container service","23000",14-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515046445","23000","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
12022514001708,1202,"VAPI-GUJARAT",103,"AMBALA HUB-HARYANA",64870002524,"","SUPER LOGISTIC SERVICES","73000",08-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515045543","75000","STAFF CALLED VENDOR 4 MINT LATER OF BID BUT VEHICLE NOT AVAILABE",31928,DEEPAK 
12022514001708,1202,"VAPI-GUJARAT",103,"AMBALA HUB-HARYANA",64870004080,"","CHOUDHARY FREIGHT CARRIER","74900",08-JAN-26,"L2","VEHICLE NOT AVAILABLE","69292515045543","75000","L1 VENDOER DENIED LATER L2 VENODE NOT PICK CALL",31928,DEEPAK 
35082514000383,3508,"DEWAS-MADHYA PRADESH",3001,"SALEM-TAMILNADU",64870001780,"SARASWATHI ROADLINES","SARASWATHI ROADLINES","75000",09-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515045629","76000","VENDOR BID NEXT DAY AFTER VEHCILE PLACED",31928,DEEPAK 
13282514001437,1328,"BINOLA HUB-HARYANA",2402,"NASIK OZHAR GAON",64870002259,"","MAHADEV GOLDEN TRANSPORT COMPANY ","56000",08-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045514","61000","AS PER VENDOR BY MISTAKE BID WRONG RATE VEHICLE NOT VAILABLE",31928,DEEPAK 
13932514001096,1393,"KHARKHODA  SONIPAT",1601,"HYDERABAD-TELANGANA",64870003317,"TENDER TRUCK PVT LTD","TENDER TRUCK PVT LTD","70000",08-JAN-26,"L1","VEHICLE NOT REACHED ON LOADING POINT","69292515045416","70000","VEHICLE NOT REACHED ON LOADING POINT DUE TO DRIVER ISSUE",31928,DEEPAK 
17362514000034,1736,"PATPARGANJ-DELHI",1351,"BAHADURGARH-HARYANA",64870000839,"","Delhi jaipur road lines","5500",08-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515045524","5500","VEHICLE PLACED ON SAME RATE NOT DISS THAT TIME OTHE",31928,DEEPAK 
17362514000034,1736,"PATPARGANJ-DELHI",1351,"BAHADURGARH-HARYANA",64870001149,"","AJIT KUMAR TEMPO SERVICE","5500",09-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515045524","5500","VENDOR BID AFTER VEHCILE PALCED",31928,DEEPAK 
12022514001708,1202,"VAPI-GUJARAT",103,"AMBALA HUB-HARYANA",12020000122,"GHT","GUJARAT HIMACHAL TRANSPORT","75000",08-JAN-26,"L3","VEHICLE NOT AVAILABLE","69292515045543","75000","VENOR DID NOT RESPONED",31928,DEEPAK 
12022514001713,1202,"VAPI-GUJARAT",4003,"ROORKEE UTTRAKHAND",64870003193,"","SANWARIYA GOODS CARRIERS ","80000",09-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515045911","82900","AS PER VENDOR VEHICLE AVAILBALE BUT AS STAFF LATE CALL APPROVED AS PER OPS",31928,DEEPAK 
12022514001716,1202,"VAPI-GUJARAT",1611,"CHERLAPALLY-TELANGANA",12020000177,"SHIV SAGAR TRANSPORT","SHIV SAGAR TRANSPORT","40000",12-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515046145","43000","AS PER VENDOR BY MISTAKE BID WRONG RATE ",31928,DEEPAK 
13932514001107,1393,"KHARKHODA  SONIPAT",1609,"VIJAYWADA",64870001751,"PAWAN TRANSPORT","PAWAN TRANSPORT","82000",12-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045888","89500","AS PER VENDOR BY MISTAKE BOD WRONG RATE",31928,DEEPAK 
17012514001194,1701,"JAIPUR-RAJASTHAN",2501,"NAGPUR",64870004700,"","SHREE BALA JI LOGISTICS","49800",12-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515046107","50000","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
61202514002506,6697,"BHARTI AIRTEL-FARRUK NAGAR",3501,"INDORE-MADHYA PRADESH",13900001039,"S.K. FREIGHT CARRIER","S.K. FREIGHT CARRIER","25999",09-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515045549","25500","",, 
22052514000597,2205,"HARIDWAR-UTTRAKHAND",1721,"KESHWANA RAJASTHAN",64870002610,"SK TRANSPORT COMPANY","SK TRANSPORT COMPANY","13000",10-JAN-26,"L1","VEHICLE PLACED OF FIX VENDOR","69292515045715","13000","VEHICLE PLACED OF FIX VENDOR",31928,DEEPAK 
28562514000925,2856,"MAHALUNGE TRANSSHIPMENT",329,"BECHARAJI",64870003910,"","HARYANA FREIGHT CARRIER ","24500",19-JAN-26,"L1","VEHICLE PLACED OF FIX VENDOR","69292515047039","26000","VENDOR BID AFTER 9-10 DAY FTER VEHICLE PLACED",31928,DEEPAK 
35082514000387,3508,"DEWAS-MADHYA PRADESH",1601,"HYDERABAD-TELANGANA",64870001956,"ACM LOGISTICS","ACM LOGISTICS","50000",10-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045707","58500","AS PER VENDOR BTY MISTAKE WROMNG  RATE FOR 9 TON CLOSED BODY BUT REQ 11 TON CLOSED BODY",31928,DEEPAK 
17012514001196,1701,"JAIPUR-RAJASTHAN",2855,"MAHALUNGE NEW WH DELIVERY",12020000087,"","MILAN CARGO MOVERS","62000",09-JAN-26,"L1","NOT RESPONSE BY VENDOR","69292515045670","63000","VENDOR NOT RESPONED DUE TO  VENDO NOT ABLE TO RESPONES",31928,DEEPAK 
1152514001653,115,"AMBALA TRANSHIPMENT HUB",1803,"VARANASI-UTTAR PRADESH",64870001577,"","BRIJMOHAN TRANSPORT","49000",10-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045972","58500","AS PER VEDNOR BY MISTAKE BID WRING RATE FOR 22 FT ",31928,DEEPAK 
9012514000977,901,"COIMBATORE-TAMILNADU",2801,"WAGHOLI - MAHARASTRA",64870002838,"","SWARAJ TRANSPORT ","25000",10-JAN-26,"L1","VEHICLE PLACED OF FIX VENDOR","69292515045834","25000","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
13382514001065,1338,"HODAL HUB HARYANA",2855,"MAHALUNGE NEW WH DELIVERY",3010000215,"SANDEEP SHARMA","RAMA KRISHNA ROAD TRANS","63000",10-JAN-26,"L1","L2,L3 ETC VENDOR VEHICLE PROVIDE IN LOW RATE OF L1 VENDOR","69292515045897","62500","VEHICLE PLACED IN LOW RATE OF  L1 VENDOR ",31928,DEEPAK 
13932514001110,1393,"KHARKHODA  SONIPAT",2826,"KAGAL GODOWN",13900000972,"VIKASH SHARMA ATTRI","SOUTH CARGO ROADLINE","1",10-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045762","70000","AS PER VENDOR BID FOR PUNE BUT REQ FOR KAGAL SO VENDOR MODIFIED RATR 1  RATE",31928,DEEPAK 
28562514000928,2856,"MAHALUNGE TRANSSHIPMENT",329,"BECHARAJI",64870004819,"","SVL CONTAINER SERVICE ","23500",11-JAN-26,"L2","VENDOR BID AFTER VEHICLE PLACED","69292515047255","25000","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
21172514002018,2117,"MUMBAI HUB-MAHARASTRA",1607,"ZAHEERABAD-TELANGANA",64870001956,"ACM LOGISTICS","ACM LOGISTICS","6500",11-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045871","44000","AS PER VENDOR BY MISTAKE BID WRONG RATE 6500 DEMAND 65000",31928,DEEPAK 
28552514000206,2856,"MAHALUNGE TRANSSHIPMENT",319,"SANAND  AHMEDABAD-GUJARAT",64870004819,"","SVL CONTAINER SERVICE ","19000",10-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515047045","20000","VENDOR BID AFTER VEHICLE PLACED ",31928,DEEPAK 
28562514000928,2856,"MAHALUNGE TRANSSHIPMENT",329,"BECHARAJI",64870003910,"","HARYANA FREIGHT CARRIER ","23000",19-JAN-26,"L1","VEHICLE PLACED OF FIX VENDOR","69292515047255","25000","VENDOR BID AFTER 9 DAYS OF VEHICLE PLACED",31928,DEEPAK 
17012514001199,1701,"JAIPUR-RAJASTHAN",2501,"NAGPUR",64870000133,"Can Pack Logistics","Can Pack Logistics","50000",10-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515045858","50000","VENDOR BID AFTER VEHCIEL PLACED",31928,DEEPAK 
10032514001835,1001,"CHENNAI SVCHATRAM-TAMILNADU",3301,"RUDRAPUR-UTTRAKHAND",12020000122,"GHT","GUJARAT HIMACHAL TRANSPORT","95000",11-JAN-26,"L1","VENDOR BID WRONG RATE","69292515046168","105000","AS PER VENDOR BY MISTAKE BID WRONG RATE B VEHICLE NOT AVAILABLE THAT SIDE",31928,DEEPAK 
13932514001119,1393,"KHARKHODA  SONIPAT",814,"DANKUNI KOLKATA-WEST BANGAL",64870001415,"","Rajesh  Kumar ","76000",12-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045925","77000","VENDOR BID NEXT DAY  AFTER VEHICLE PLACED",31928,DEEPAK 
13932514001117,1393,"KHARKHODA  SONIPAT",1601,"HYDERABAD-TELANGANA",13900000155,"ANADI SHANKAR SHARMA","SHREE SHYAM CARGO CARRIER","68000",11-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515045924","69000","STAFF CALL TO VENDOR AFTER 1 HR BUT THIS VEDNOR NOT PROVIDE VEHICLE ",31928,DEEPAK 
